1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
209	-1.041173	125.226052	40.824487	0.003112	2.3
210	-1.087769	124.996527	40.888668	0.005554	2.1
211	-1.043604	124.738273	40.961124	0.005170	1.4
212	-1.022943	124.481536	41.033410	0.005741	1.3
213	-1.068015	124.223170	41.106412	0.003064	1.2
214	-1.040494	123.991093	41.172208	0.006063	1.3
215	-1.035622	123.732731	41.245705	0.002175	1.3
216	-1.057006	123.474387	41.319459	0.003037	1.2
217	-1.058111	123.242312	41.385939	0.008567	2.8
218	-1.052219	122.983945	41.460202	0.002948	1.3
219	-1.040250	122.725596	41.534728	0.006178	1.3
220	-1.031356	123.703484	41.254041	0.004753	1.4
221	-1.059963	124.668273	40.980808	0.005628	1.3
222	-1.049208	125.437613	40.765507	0.004222	1.3
223	-1.049356	125.179247	40.837558	0.005474	1.3
224	-1.040611	124.920881	40.909864	0.007006	1.2
225	-1.077584	124.662515	40.982428	0.007099	1.2
226	-1.045989	125.662505	40.702997	0.006162	1.2
227	-1.044018	126.662505	40.427348	0.005860	1.2
228	-1.072365	126.404147	40.498206	0.003582	1.2
229	-1.030292	127.399948	40.226453	0.006196	1.2
230	-1.068205	128.399948	39.957199	0.004053	1.2
231	-1.032735	128.141581	40.026419	0.006181	1.2
232	-1.070748	129.141581	39.759828	0.004170	1.5
233	-1.058962	128.883265	39.828352	0.005825	1.6
234	-1.040777	128.966207	39.806324	0.004180	2.1
235	-1.053829	129.940583	39.549360	0.005840	2.2
236	-1.071777	130.741914	39.340505	0.007042	1.7
237	-1.087912	131.741912	39.082943	0.006564	1.9
238	-1.055392	131.483552	39.149163	0.006365	1.6
239	-1.054800	131.225186	39.215610	0.005847	1.7
240	-1.096586	130.966839	39.282277	0.007804	1.4
241	-1.078387	131.966835	39.025476	0.006207	1.7
242	-1.053126	132.966835	38.772009	0.005581	1.6
243	-1.055589	133.965730	38.522088	0.005448	1.4
244	-1.038989	134.965730	38.275097	0.004361	1.7
245	-1.051822	134.707364	38.338607	0.007393	1.4
246	-1.044336	135.706572	38.094149	0.004857	1.5
247	-1.054505	135.448205	38.157059	0.006147	1.3
248	-1.074071	135.191050	38.219882	0.005059	1.3
249	-1.052909	134.932686	38.283208	0.004093	1.5
250	-1.060948	135.932685	38.039262	0.005134	1.6
251	-1.069309	135.674319	38.101991	0.006898	1.5
252	-1.018715	136.674319	37.860341	0.005323	1.6
253	-1.045499	137.674319	37.621737	0.003441	2.0
254	-1.055010	137.447056	37.675698	0.006456	2.2
255	-1.067375	137.314022	37.707358	0.006685	1.8
256	-1.053223	137.055691	37.768988	0.007515	1.3
257	-1.020713	136.797324	37.830828	0.005111	1.4
258	-1.062087	137.797324	37.592595	0.005466	1.3
259	-1.048515	138.797298	37.357349	0.004345	1.3
260	-1.045564	139.778653	37.129329	0.004903	1.2
261	-1.054261	139.522426	37.188595	0.005801	1.3
262	-1.054743	139.311795	37.237456	0.008069	1.2
263	-1.057114	139.053429	37.297567	0.006207	1.1
264	-1.047767	140.053429	37.065982	0.006572	1.2
265	-1.049087	140.616164	36.936921	0.008767	1.1
266	-1.072632	141.616164	36.709779	0.007155	1.2
267	-1.065477	141.357798	36.768197	0.010869	1.4
268	-1.040570	142.357798	36.543119	0.007469	1.1
269	-1.027785	143.357798	36.320780	0.006126	1.2
270	-1.038363	144.357798	36.101131	0.005938	1.2
271	-1.054444	144.889419	35.985438	0.004179	1.2
272	-1.067142	145.889419	35.769814	0.005542	1.2
273	-1.054435	146.888044	35.557049	0.005005	1.2
274	-1.078145	147.888044	35.346513	0.004188	1.1
275	-1.041244	148.888044	35.138456	0.008855	2.1
276	-1.089151	149.888044	34.932833	0.006289	1.6
277	-1.051432	150.888044	34.729603	0.004993	1.8
278	-1.083114	151.887805	34.528771	0.005197	1.8
279	-1.066095	152.830049	34.341608	0.007228	1.5
280	-1.051453	152.571683	34.392727	0.007025	1.3
281	-1.076454	153.571683	34.195715	0.003703	1.4
282	-1.067760	154.569688	34.001333	0.004363	1.3
283	-1.067370	154.314931	34.050742	0.003744	1.5
284	-1.060257	154.062178	34.099904	0.005695	1.2
285	-1.071233	154.367872	34.040462	0.004419	1.2
286	-1.048084	155.367872	33.847454	0.006012	1.2
287	-1.058794	155.109506	33.897111	0.004847	1.2
288	-1.057464	154.851139	33.946914	0.005633	1.4
289	-1.062672	155.851139	33.754962	0.005432	1.2
290	-1.063332	155.632127	33.796816	0.004505	1.3
291	-1.063311	155.412004	33.838987	0.004626	1.2
292	-1.053266	156.412004	33.648250	0.005074	1.2
293	-1.088919	157.412004	33.459652	0.005702	1.2
294	-1.073002	158.412004	33.273155	0.004619	1.2
295	-1.057051	158.153638	33.321140	0.005082	1.2
296	-1.048119	159.153637	33.136181	0.005381	1.2
297	-1.076906	160.153422	32.953302	0.005195	1.2
298	-1.072148	159.895055	33.000368	0.005529	2.6
299	-1.072257	160.895055	32.818943	0.008005	1.9
300	-1.041169	160.636689	32.865626	0.005130	1.8
301	-1.035374	160.378327	32.912441	0.003203	1.6
302	-1.070610	161.377188	32.732183	0.006297	1.6
303	-1.056668	162.076056	32.607232	0.005037	1.9
304	-1.047876	162.565540	32.520284	0.004870	1.4
305	-1.050672	162.307176	32.566120	0.007382	1.4
306	-1.045693	163.307176	32.389425	0.006071	1.2
307	-1.056476	164.307176	32.214637	0.004670	1.3
308	-1.061224	165.307083	32.041742	0.005304	1.1
309	-1.060958	166.307043	31.870683	0.003297	1.5
310	-1.026361	167.303302	31.702065	0.004299	1.8
311	-1.050823	167.063348	31.742514	0.004712	2.1
312	-1.060491	168.063348	31.574621	0.005727	1.9
313	-1.039350	169.063348	31.408494	0.004436	1.5
314	-1.057851	168.804981	31.451248	0.005124	1.3
315	-1.071827	168.571620	31.489964	0.003374	1.4
316	-1.037053	168.313254	31.532940	0.006444	1.2
317	-1.055564	169.313254	31.367250	0.005444	1.3
318	-1.040044	170.313254	31.203293	0.004634	2.0
319	-1.037094	171.310224	31.041529	0.005339	2.1
320	-1.032052	171.055479	31.082703	0.004327	2.6
321	-1.048928	172.055479	30.921699	0.005632	1.7
322	-1.057361	171.797113	30.963137	0.007069	1.3
323	-1.047743	172.797113	30.803366	0.006217	1.3
324	-1.027481	173.788791	30.646545	0.004686	1.3
325	-1.071341	173.530427	30.687248	0.003822	1.2
326	-1.070090	174.460201	30.541274	0.005085	1.2
327	-1.061045	175.460201	30.385816	0.006510	1.2
328	-1.052207	175.201835	30.425829	0.004350	1.5
329	-1.081063	176.199867	30.271843	0.005127	1.5
330	-1.087109	176.874565	30.168625	0.005657	1.5
331	-1.063413	177.874565	30.016928	0.002968	1.2
332	-1.050660	178.872249	29.867095	0.005019	1.4
333	-1.067313	179.010386	29.846467	0.005823	1.4
334	-1.047153	178.753051	29.884918	0.005134	1.2
335	-1.077244	179.753051	29.736054	0.004847	1.2
336	-1.050266	179.494754	29.774362	0.005152	1.1
337	-1.053498	179.236388	29.812780	0.006326	1.1
338	-1.061557	180.231482	29.665356	0.005571	1.3
339	-1.035295	179.973116	29.703493	0.004115	2.3
340	-1.071398	180.973116	29.556426	0.005949	1.5
341	-1.067447	180.714750	29.594283	0.004019	2.0
342	-1.077738	180.831915	29.577104	0.004940	3.8
343	-1.061718	180.573550	29.615014	0.005704	2.3
344	-1.063046	181.573550	29.468820	0.007348	1.5
345	-1.024220	181.315183	29.506453	0.006225	1.4
346	-1.055536	182.310383	29.362020	0.008079	1.2
347	-1.061587	183.310383	29.218307	0.006045	1.3
348	-1.083446	184.310383	29.075994	0.007338	1.2
349	-1.063388	184.052017	29.112630	0.006680	1.2
350	-1.100283	185.052017	28.971342	0.004388	1.2
351	-1.077664	185.427366	28.918663	0.006203	1.2
352	-1.065365	185.168999	28.954903	0.007388	1.2
